qid,answer
1270,D
1271,D
1272,D
1273,A
1274,B
1275,A
1276,D
1277,A
1278,B
1279,A
1280,C
1281,B
1282,D
1283,B
1284,D
1285,B
1286,A
1287,C
1288,B
1289,B
1290,A
1291,A
1292,D
1293,D
1294,B
1295,D
1296,B
1297,B
1298,D
1299,B
1300,B
1301,D
1302,D
1303,B
1304,D
1305,A
1306,C
1307,C
1308,C
1309,D
1310,D
1311,C
1312,D
1313,A
1314,B
1315,B
1316,A
1317,A
1318,D
1319,C
1320,D
1321,D
1322,B
1323,B
1324,D
1325,B
1326,A
1327,A
1328,A
1329,D
1330,B
1331,D
1332,A
1333,C
1334,B
1335,A
1336,C
1337,B
1338,A
1339,A
1340,A
1341,B
1342,D
1343,A
1344,A
1345,D
1346,B
1347,D
1348,B
1349,D
1350,A
1351,D
1352,D
1353,A
1354,D
1355,C
1356,A
1357,C
1358,B
1359,B
1360,A
1361,A
1362,C
1363,B
1364,C
1365,D
1366,B
1367,B
1368,C
1369,C
1370,D
1371,C
1372,C
1373,D
1374,B
1375,B
1376,D
1377,D
1378,D
1379,D
1380,B
1381,A
1382,D
1383,A
1384,A
1385,D
1386,A
1387,C
1388,B
1389,C
1390,D
1391,C
1392,D
1393,B
1394,C
1395,B
1396,D
1397,D
1398,C
1399,D
1400,C
1401,A
1402,A
1403,D
1404,A
1405,B
1406,C
1407,C
1408,A
1409,D
1410,B
1411,B
1412,A
1413,D
1414,A
1415,D
1416,D
1417,D
1418,D
1419,D
1420,A
1421,D
1422,C
1423,C
1424,B
1425,C
1426,B
1427,C
1428,D
1429,C
1430,B
1431,C
1432,A
1433,C
1434,B
1435,A
1436,D
1437,B
1438,D
1439,C
1440,D
1441,C
1442,A
1443,C
1444,B
1445,B
1446,B
1447,A
1448,D
1449,B
1450,B
1451,C
1452,B
1453,B
1454,B
1455,B
1456,C
1457,B
1458,B
1459,A
1460,B
1461,C
1462,D
1463,B
1464,C
1465,A
1466,C
1467,A
1468,D
1469,A
1470,A
1471,D
1472,B
1473,B
1474,B
1475,D
1476,B
1477,A
1478,D
1479,C
1480,B
1481,C
1482,C
1483,A
1484,D
1485,A
1486,C
1487,C
1488,B
1489,D
1490,C
1491,C
1492,C
1493,D
1494,C
1495,A
1496,B
1497,D
1498,C
1499,D
1500,D
